Model,Flare_US,,,,,,,,,
GridWidth,25,,,,,,,,,
GridHeight,14,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 45,21,1,1,3076,648,3175,747,0,NUM_STAR,
LED 46,22,1,1,3215,648,3314,747,0,NUM_NEG,
LED 47,23,1,0,-1,-1,-1,-1,0,L_LED,
LED 48,0,2,1,301,785,457,884,0,TAB,
LED 49,1,2,0,-1,-1,-1,-1,0,,
LED 50,2,2,1,506,785,605,884,0,Q,
LED 51,3,2,1,633,785,732,884,0,W,
LED 52,4,2,1,775,785,874,884,0,E,
LED 53,5,2,1,904,785,1003,884,0,R,
LED 54,6,2,1,1040,785,1139,884,0,T,
LED 55,7,2,1,1174,785,1273,884,0,Y,
LED 56,8,2,1,1310,785,1409,884,0,U,
LED 57,9,2,1,1447,785,1546,884,0,I,
LED 58,10,2,1,1581,785,1680,884,0,O,
LED 59,11,2,1,1723,785,1822,884,0,P,
LED 60,12,2,1,1856,785,1955,884,0,L_BRACKETS,
LED 61,13,2,1,1986,785,2085,884,0,R_BRACKETS,
LED 62,14,2,0,-1,-1,-1,-1,0,,
LED 63,15,2,1,2125,785,2286,884,0,BACKSLASH,
LED 64,16,2,1,2357,785,2456,884,0,DEL,
LED 65,17,2,1,2494,785,2593,884,0,END,
LED 66,18,2,1,2630,785,2729,884,0,PGDN,
LED 67,19,2,1,2803,785,2902,884,0,NUM_7,
LED 68,20,2,1,2940,785,3039,884,0,NUM_8,
LED 69,21,2,1,3076,785,3175,884,0,NUM_9,
LED 70,22,2,1,3215,785,3314,1021,0,NUM_PLUS,
LED 71,23,2,0,-1,-1,-1,-1,0,R_LED,
LED 72,0,3,1,301,922,492,1021,0,CAP,
LED 73,1,3,0,-1,-1,-1,-1,0,,
LED 74,2,3,1,533,922,632,1021,0,A,
LED 75,3,3,1,668,922,767,1021,0,S,
LED 76,4,3,1,804,922,903,1021,0,D,
LED 77,5,3,1,940,922,1039,1021,0,F,
LED 78,6,3,1,1074,922,1173,1021,0,G,
LED 79,7,3,1,1210,922,1309,1021,0,H,
LED 80,8,3,1,1344,922,1443,1021,0,J,
LED 81,9,3,1,1480,922,1579,1021,0,K,
LED 82,10,3,1,1615,922,1714,1021,0,L,
LED 83,11,3,1,1750,922,1849,1021,0,SEMICOLON,
LED 84,12,3,1,1886,922,1985,1021,0,APOSTROPHE,
LED 85,13,3,0,-1,-1,-1,-1,0,CODE42(EU),
LED 86,14,3,0,-1,-1,-1,-1,0,,
LED 87,15,3,1,2025,922,2286,1021,0,ENTER,
LED 88,16,3,0,-1,-1,-1,-1,0,,
LED 89,17,3,0,-1,-1,-1,-1,0,,
LED 90,18,3,0,-1,-1,-1,-1,0,,
LED 91,19,3,1,2803,922,2902,1021,0,NUM_4,
LED 92,20,3,1,2940,922,3039,1021,0,NUM_5,
LED 93,21,3,1,3076,922,3175,1021,0,NUM_6,
LED 94,22,3,0,-1,-1,-1,-1,0,,
LED 95,23,3,0,-1,-1,-1,-1,0,,
LED 96,0,4,1,301,1059,559,1158,0,L_SHIFT,
LED 97,1,4,0,-1,-1,-1,-1,0,CODE45(EU),
LED 98,2,4,1,601,1059,700,1158,0,Z,
LED 99,3,4,1,735,1059,834,1158,0,X,
LED 100,4,4,1,870,1059,969,1158,0,C,
LED 101,5,4,1,1007,1059,1106,1158,0,V,
LED 102,6,4,1,1142,1059,1241,1158,0,B,
LED 103,7,4,1,1277,1059,1376,1158,0,N,
LED 104,8,4,1,1413,1059,1512,1158,0,M,
LED 105,9,4,1,1547,1059,1646,1158,0,COMMA,
LED 106,10,4,1,1681,1059,1780,1158,0,DOT,
LED 107,11,4,1,1819,1059,1918,1158,0,SLASH,
LED 108,12,4,0,-1,-1,-1,-1,0,,
LED 109,13,4,0,-1,-1,-1,-1,0,,
LED 110,14,4,0,-1,-1,-1,-1,0,,
LED 111,15,4,1,1956,1059,2286,1158,0,R_SHIFT,
LED 112,16,4,0,-1,-1,-1,-1,0,,
LED 113,17,4,1,2496,1057,2595,1156,0,UP_ARROW,
LED 114,18,4,0,-1,-1,-1,-1,0,,
LED 115,19,4,1,2803,1056,2902,1155,0,NUM_1,
LED 116,20,4,1,2938,1056,3037,1155,0,NUM_2,
LED 117,21,4,1,3075,1056,3174,1155,0,NUM_3,
LED 118,22,4,1,3213,1058,3312,1292,0,NUM_ENTER,
LED 119,23,4,0,-1,-1,-1,-1,0,,
LED 120,0,5,1,301,1192,424,1291,0,L_CTRL,
LED 121,1,5,1,469,1192,597,1291,0,L_WIN,
LED 122,2,5,1,639,1192,763,1291,0,L_ALT,
LED 123,3,5,0,-1,-1,-1,-1,0,,
LED 124,4,5,0,-1,-1,-1,-1,0,,
LED 125,5,5,0,-1,-1,-1,-1,0,,
LED 126,6,5,1,805,1192,1611,1291,0,SPACE,
LED 127,7,5,0,-1,-1,-1,-1,0,,
LED 128,8,5,0,-1,-1,-1,-1,0,,
LED 129,9,5,1,1653,1192,1778,1291,0,R_ALT,
LED 130,10,5,0,-1,-1,-1,-1,0,,
LED 131,11,5,1,1824,1192,1949,1291,0,FN,
LED 132,12,5,1,1994,1192,2120,1291,0,APP,
LED 133,13,5,0,-1,-1,-1,-1,0,,
LED 134,14,5,0,-1,-1,-1,-1,0,,
LED 135,15,5,1,2161,1192,2286,1291,0,R_CTRL,
LED 136,16,5,1,2359,1194,2458,1293,0,L_ARROW,
LED 137,17,5,1,2496,1194,2595,1293,0,DN_ARROW,
LED 138,18,5,1,2632,1194,2731,1293,0,R_ARROW,
LED 139,19,5,1,2803,1192,3039,1291,0,NUM_0,
LED 140,20,5,0,-1,-1,-1,-1,0,,
LED 141,21,5,1,3074,1192,3173,1291,0,NUM_DOT,
LED 142,22,5,0,-1,-1,-1,-1,0,,
LED 143,23,5,0,-1,-1,-1,-1,0,,
