GridWidth,27,,,,,,,,,
GridHeight,27,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 158,11,7,0,-1,-1,-1,-1,1,NULL,
LED 159,12,7,0,2368,3221,2456,3283,1,NULL,
LED 160,13,7,0,2480,3221,2568,3283,1,NULL,
LED 161,14,7,0,2592,3221,2680,3283,1,NULL,
LED 162,15,7,0,-1,-1,-1,-1,1,NULL,
LED 163,16,7,1,-1,-1,-1,-1,1,L_ARROR,
LED 164,17,7,1,-1,-1,-1,-1,1,DN_ARROR,
LED 165,18,7,1,-1,-1,-1,-1,1,R_ARROR,
LED 166,19,7,0,-1,-1,-1,-1,1,NULL,
LED 167,20,7,0,-1,-1,-1,-1,1,NULL,
LED 168,1,0,0,-1,-1,-1,-1,1,LOGO,
LED 169,20,3,1,-1,-1,-1,-1,1,LIGHTBAR_R1,
LED 170,20,5,1,-1,-1,-1,-1,1,LIGHTBAR_R2,
LED 171,19,6,1,-1,-1,-1,-1,1,LIGHTBAR_R3,
LED 172,1,6,1,-1,-1,-1,-1,1,LIGHTBAR_L3,
LED 173,0,6,1,-1,-1,-1,-1,1,LIGHTBAR_L2,
LED 174,0,3,1,-1,-1,-1,-1,1,LIGHTBAR_L1,
