Model,Flare_UK,,,,,,,,,
GridWidth,25,,,,,,,,,
GridHeight,14,,,,,,,,,
Parameters,grid_x,grid_y,exist,LeftTop_x,LeftTop_y,RightBottom_x,RightBottom_y,Z_index,Note,PNG
LED 64,16,2,1,2364,791,2463,890,0,DEL,
LED 65,17,2,1,2501,791,2600,890,0,END,
LED 66,18,2,1,2637,791,2736,890,0,PGDN,
LED 67,19,2,1,2814,791,2913,890,0,NUM_7,
LED 68,20,2,1,2951,791,3050,890,0,NUM_8,
LED 69,21,2,1,3087,791,3186,890,0,NUM_9,
LED 70,22,2,1,3222,791,3321,1027,0,NUM_PLUS,
LED 71,23,2,0,-1,-1,-1,-1,0,R_LED,
LED 72,0,3,1,275,928,476,1027,0,CAP,
LED 73,1,3,0,-1,-1,-1,-1,0,,
LED 74,2,3,1,513,928,612,1027,0,A,
LED 75,3,3,1,649,928,748,1027,0,S,
LED 76,4,3,1,786,928,885,1027,0,D,
LED 77,5,3,1,923,928,1022,1027,0,F,
LED 78,6,3,1,1060,928,1159,1027,0,G,
LED 79,7,3,1,1193,928,1292,1027,0,H,
LED 80,8,3,1,1330,928,1429,1027,0,J,
LED 81,9,3,1,1467,928,1566,1027,0,K,
LED 82,10,3,1,1607,928,1706,1027,0,L,
LED 83,11,3,1,1749,928,1848,1027,0,SEMICOLON,
LED 84,12,3,1,1882,928,1981,1027,0,APOSTROPHE,
LED 85,13,3,1,2020,928,2119,1027,0,CODE42(EU),
LED 86,14,3,0,-1,-1,-1,-1,0,,
LED 87,15,3,1,2157,791,2283,1027,0,ENTER,
LED 88,16,3,0,-1,-1,-1,-1,0,,
LED 89,17,3,0,-1,-1,-1,-1,0,,
LED 90,18,3,0,-1,-1,-1,-1,0,,
LED 91,19,3,1,2814,928,2913,1027,0,NUM_4,
LED 92,20,3,1,2951,928,3050,1027,0,NUM_5,
LED 93,21,3,1,3087,928,3186,1027,0,NUM_6,
LED 94,22,3,0,-1,-1,-1,-1,0,,
LED 95,23,3,0,-1,-1,-1,-1,0,,
LED 96,0,4,1,275,1065,407,1164,0,L_SHIFT,
LED 97,1,4,1,444,1065,543,1164,0,CODE45(EU),
LED 98,2,4,1,580,1065,679,1164,0,Z,
LED 99,3,4,1,717,1065,816,1164,0,X,
LED 100,4,4,1,854,1065,953,1164,0,C,
LED 101,5,4,1,991,1065,1090,1164,0,V,
LED 102,6,4,1,1124,1065,1223,1164,0,B,
LED 103,7,4,1,1261,1065,1360,1164,0,N,
LED 104,8,4,1,1398,1065,1497,1164,0,M,
LED 105,9,4,1,1538,1065,1637,1164,0,COMMA,
LED 106,10,4,1,1680,1065,1779,1164,0,DOT,
LED 107,11,4,1,1813,1065,1912,1164,0,SLASH,
LED 108,12,4,0,-1,-1,-1,-1,0,,
LED 109,13,4,0,-1,-1,-1,-1,0,,
LED 110,14,4,0,-1,-1,-1,-1,0,,
LED 111,15,4,1,1951,1065,2283,1164,0,R_SHIFT,
LED 112,16,4,0,-1,-1,-1,-1,0,,
LED 113,17,4,1,2499,1067,2598,1166,0,UP_ARROW,
LED 114,18,4,0,-1,-1,-1,-1,0,,
LED 115,19,4,1,2814,1065,2913,1164,0,NUM_1,
LED 116,20,4,1,2951,1065,3050,1164,0,NUM_2,
LED 117,21,4,1,3087,1065,3186,1164,0,NUM_3,
LED 118,22,4,1,3222,1067,3321,1301,0,NUM_ENTER,
LED 119,23,4,0,-1,-1,-1,-1,0,,
LED 120,0,5,1,280,1202,403,1301,0,L_CTRL,
LED 121,1,5,1,448,1202,576,1301,0,L_WIN,
LED 122,2,5,1,624,1202,748,1301,0,L_ALT,
LED 123,3,5,0,-1,-1,-1,-1,0,,
LED 124,4,5,0,-1,-1,-1,-1,0,,
LED 125,5,5,0,-1,-1,-1,-1,0,,
LED 126,6,5,1,792,1202,1598,1301,0,SPACE,
LED 127,7,5,0,-1,-1,-1,-1,0,,
LED 128,8,5,0,-1,-1,-1,-1,0,,
LED 129,9,5,1,1644,1202,1769,1301,0,R_ALT,
LED 130,10,5,0,-1,-1,-1,-1,0,,
LED 131,11,5,1,1817,1202,1942,1301,0,FN,
LED 132,12,5,1,1988,1202,2113,1301,0,APP,
LED 133,13,5,0,-1,-1,-1,-1,0,,
LED 134,14,5,0,-1,-1,-1,-1,0,,
LED 135,15,5,1,2157,1202,2283,1301,0,R_CTRL,
LED 136,16,5,1,2362,1204,2461,1303,0,L_ARROW,
LED 137,17,5,1,2499,1204,2598,1303,0,DN_ARROW,
LED 138,18,5,1,2635,1204,2734,1303,0,R_ARROW,
LED 139,19,5,1,2814,1202,3050,1301,0,NUM_0,
LED 140,20,5,0,-1,-1,-1,-1,0,,
LED 141,21,5,1,3087,1202,3186,1301,0,NUM_DOT,
LED 142,22,5,0,-1,-1,-1,-1,0,,
LED 143,23,5,0,-1,-1,-1,-1,0,,
